"UniqueCarrier" "Origin" "Dest" "Month" "DayOfWeek" "hour" "prop_30" "prop_60" "prop_80" "Time_Delay"
"273" "WN" "DAL" "HOU" 1 5 18 0.192090395480226 0.0564971751412429 0 177
"274" "UA" "LAX" "SFO" 7 7 11 0.19205298013245 0.0596026490066225 0 151
"275" "UA" "SFO" "LAX" 1 7 18 0.19205298013245 0.0993377483443709 0.0132450331125828 151
"276" "WN" "HOU" "DAL" 7 4 17 0.191964285714286 0.0669642857142857 0 224
"277" "WN" "HOU" "DAL" 9 4 17 0.191964285714286 0.0892857142857143 0.0133928571428571 224
"278" "WN" "DAL" "HOU" 4 4 18 0.191860465116279 0.0465116279069767 0 172
"279" "AA" "DFW" "LGA" 1 1 0 0.191489361702128 0.0638297872340425 0.00531914893617021 188
"280" "UA" "LAX" "SFO" 7 6 11 0.191082802547771 0.0764331210191083 0 157
"281" "WN" "DAL" "HOU" 4 7 21 0.191082802547771 0.0636942675159236 0.00636942675159236 157
"282" "WN" "HOU" "DAL" 8 4 20 0.191082802547771 0.0764331210191083 0.00636942675159236 157
"283" "AA" "ORD" "DFW" 1 4 0 0.190789473684211 0.111842105263158 0.0394736842105263 304
"284" "WN" "HOU" "DAL" 11 5 17 0.190697674418605 0.0558139534883721 0 215
